Sid,R1(Vincent),R2(Ashu)
s54340460,NR,NR
s56550578,NR,NR
s59053386,NR,NR
s56498272,NR,NR
s51040656,IR,NR
s53961269,IR,NR
s54759244,NR,NR
s56277244,NR,NR
s52009754,NR,NR
s55980966,IR,LTR
s57977208,NR,CR
s55418359,LTR,CR
s59842808,IR,IR 
s56852226,LTR,CR
s58084420,IR,CR
s54823444,NR,LTR
s50399800,IR,CR
s59336512,NR,LTR
s59286076,NR,LTR
s50243114,NR,NR
s52842984,NR,NR
s51766355,NR,NR
s53930112,NR,LTR
s59599357,IR,CR
s54100996,LTR,LTR
s51139077,IR,IR 
s54224166,NR,LTR
s56495546,IR,CR
s51131475,NR,LTR
s52022822,NR,CR
s50476602,IR,IR 
s54912258,NR,NR
s50296389,NR,NR
s55681597,NR,NR
s50795677,IR,IR 
s59027235,NR,NR
s52687447,IR,IR 
s53854854,NR,CR
s57862102,NR,CR
s53409681,IR,IR 
s53015743,NR,NR
s52991108,NR,NR
s51083465,NR,IR 
s55878458,NR,NR
s54066754,LTR,CR
s53933599,NR,NR
s51161513,NR,LTR
s51631521,NR,NR
s57907009,NR,LTR
s51664027,IR,IR 
s54056728,NR,NR
s52363927,NR,NR
s54232769,NR,NR
s56399963,NR,NR
s55906329,IR,IR 
s59983953,NR,NR
s59022925,NR,NR
s59691119,NR,NR
s58414605,NR,LTR
s58641137,NR,IR 
s54325260,LTR,NR
s57478725,IR,NR
s58204843,IR,NR
s50243155,NR,NR
s59249240,NR,NR
s59700205,IR,IR 
s56018459,NR,LTR
s52442135,NR,IR 
s55438657,IR,IR 
s56603583,NR,NR
s51246566,NR,LTR
s51882937,NR,NR
s57198058,NR,LTR
s51745439,CR,CR
s59522601,CR,IR 
s56427859,CR,CR
s56353295,CR,LTR
s50981777,NR,NR
s52697084,NR,LTR
s50535279,IR,CR
s51235553,IR,IR 
s51394568,IR,IR 
s57146595,IR ,IR 
s56573421,NR,LTR
s50520166,NR,IR 
s58911568,NR,NR
s58274962,NR,IR 
s54806202,NR,NR
s58137643,NR,NR
s56679657,NR,IR 
s59715122,NR,CR
s57673768,NR,NR
s51325572,NR,CR
s59968351,CR,CR
s53225676,NR,IR 
s54198369,NR,NR
s52974031,LTR,NR
s56993533,LTR,NR
s59454336,NR,NR
s50553646,IR,IR 
